state,vet_suicides
Alabama,178
Alaska,34
Arizona,228
Arkansas,89
California,723
Colorado,211
Connecticut,31
Delaware,17
Florida*,658
Georgia,244
Hawaii,25
Idaho,66
Illinois,199
Indiana,150
Iowa,71
Kansas,93
Kentucky,104
Louisiana,92
Maine,45
Maryland,97
Massachusetts,48
Michigan,232
Minnesota,106
Mississippi,77
Missouri***,180
Montana,48
Nebraska,30
Nevada,118
New Hampshire,28
New Jersey,81
New Mexico,85
New York,192
North Carolina,249
North Dakota**,14
Ohio,243
Oklahoma,122
Oregon,145
Pennsylvania,292
Rhode Island,22
South Carolina,143
South Dakota,33
Tennessee,196
Texas,492
Utah,79
Vermont,7
Virginia,198
Washington,249
West Virginia,66
Wisconsin,134
Wyoming,18
